sigma,month,b,cr
0,1,1,3.144192256341789
0,1,2,2.437917222963952
0,1,4,2.0667556742323097
0,1,8,1.8584779706275034
0,1,16,1.7850467289719627
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0934579439252334
2,1,2,2.4485981308411215
2,1,4,2.041388518024032
2,1,8,1.8611481975967956
2,1,16,1.7957276368491322
2,1,32,1.801068090787717
2,1,64,1.8024032042723632
2,1,128,1.809078771695594
5,1,1,3.1081441922563418
5,1,2,2.5287049399198933
5,1,4,2.267022696929239
5,1,8,2.3377837116154874
5,1,16,2.4913217623498
5,1,32,2.758344459279039
5,1,64,2.942590120160214
5,1,128,3.052069425901202
10,1,1,3.0453938584779707
10,1,2,2.716955941255007
10,1,4,2.6475300400534048
10,1,8,2.9399198931909214
10,1,16,3.0240320427236314
10,1,32,3.0667556742323097
10,1,64,3.0240320427236314
10,1,128,3.088117489986649
15,1,1,3.0854472630173566
15,1,2,2.7983978638184244
15,1,4,2.8344459279038716
15,1,8,3.005340453938585
15,1,16,3.1255006675567425
15,1,32,3.1001335113484645
15,1,64,3.104138851802403
15,1,128,3.041388518024032
20,1,1,3.068090787716956
20,1,2,2.862483311081442
20,1,4,2.8758344459279037
20,1,8,3.0427236315086783
20,1,16,3.068090787716956
20,1,32,3.1174899866488652
20,1,64,3.0427236315086783
20,1,128,3.0493991989319094
0,1,1,3.0894526034712952
0,1,2,2.4365821094793056
0,1,4,2.0640854472630172
0,1,8,1.8571428571428572
0,1,16,1.7823765020026703
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0307076101468624
2,1,2,2.465954606141522
2,1,4,2.05607476635514
2,1,8,1.8518024032042724
2,1,16,1.8050734312416556
2,1,32,1.7970627503337784
2,1,64,1.8050734312416556
2,1,128,1.8037383177570094
5,1,1,3.096128170894526
5,1,2,2.5233644859813085
5,1,4,2.3324432576769025
5,1,8,2.2910547396528704
5,1,16,2.5180240320427236
5,1,32,2.7543391188251003
5,1,64,2.9546061415220293
5,1,128,3.0080106809078773
10,1,1,3.0200267022696927
10,1,2,2.706275033377837
10,1,4,2.6942590120160212
10,1,8,2.854472630173565
10,1,16,3.0267022696929238
10,1,32,3.110814419225634
10,1,64,3.074766355140187
10,1,128,3.1081441922563418
15,1,1,3.088117489986649
15,1,2,2.712950600801068
15,1,4,2.84913217623498
15,1,8,2.9559412550066755
15,1,16,3.069425901201602
15,1,32,3.0841121495327104
15,1,64,3.121495327102804
15,1,128,3.0921228304405877
20,1,1,3.0841121495327104
20,1,2,2.7997329773030706
20,1,4,2.9198931909212282
20,1,8,2.993324432576769
20,1,16,3.1001335113484645
20,1,32,3.1068090787716955
20,1,64,3.0947930574098796
20,1,128,3.1361815754339117
0,1,1,3.0841121495327104
0,1,2,2.467289719626168
0,1,4,2.048064085447263
0,1,8,1.8624833110814418
0,1,16,1.7837116154873165
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.1201602136181577
2,1,2,2.417890520694259
2,1,4,2.054739652870494
2,1,8,1.8691588785046729
2,1,16,1.8024032042723632
2,1,32,1.7957276368491322
2,1,64,1.7917222963951935
2,1,128,1.7970627503337784
5,1,1,3.0640854472630172
5,1,2,2.514018691588785
5,1,4,2.313751668891856
5,1,8,2.3057409879839788
5,1,16,2.5500667556742322
5,1,32,2.7543391188251003
5,1,64,2.9626168224299065
5,1,128,3.0240320427236314
10,1,1,3.0654205607476634
10,1,2,2.7369826435246996
10,1,4,2.664886515353805
10,1,8,2.8758344459279037
10,1,16,2.994659546061415
10,1,32,3.057409879839786
10,1,64,3.081441922563418
10,1,128,3.0267022696929238
15,1,1,3.0801068090787718
15,1,2,2.753004005340454
15,1,4,2.7997329773030706
15,1,8,3.040053404539386
15,1,16,3.05607476635514
15,1,32,3.102803738317757
15,1,64,3.0453938584779707
15,1,128,3.088117489986649
20,1,1,3.048064085447263
20,1,2,2.814419225634179
20,1,4,2.9012016021361817
20,1,8,3.0080106809078773
20,1,16,3.0640854472630172
20,1,32,3.0600801068090786
20,1,64,3.121495327102804
20,1,128,3.052069425901202
0,1,1,3.121495327102804
0,1,2,2.404539385847797
0,1,4,2.069425901201602
0,1,8,1.8504672897196262
0,1,16,1.7837116154873165
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.1054739652870493
2,1,2,2.445927903871829
2,1,4,2.069425901201602
2,1,8,1.8664886515353805
2,1,16,1.7930574098798397
2,1,32,1.787716955941255
2,1,64,1.8050734312416556
2,1,128,1.8037383177570094
5,1,1,3.041388518024032
5,1,2,2.512683578104139
5,1,4,2.288384512683578
5,1,8,2.2923898531375166
5,1,16,2.532710280373832
5,1,32,2.746328437917223
5,1,64,2.966622162883845
5,1,128,3.0240320427236314
10,1,1,3.053404539385848
10,1,2,2.692923898531375
10,1,4,2.699599465954606
10,1,8,2.870493991989319
10,1,16,3.068090787716956
10,1,32,3.0854472630173566
10,1,64,3.0453938584779707
10,1,128,3.102803738317757
15,1,1,3.081441922563418
15,1,2,2.7489986648865155
15,1,4,2.8638184245660883
15,1,8,2.998664886515354
15,1,16,3.0587449933244324
15,1,32,3.0894526034712952
15,1,64,3.0707610146862483
15,1,128,3.0934579439252334
20,1,1,3.0200267022696927
20,1,2,2.8344459279038716
20,1,4,2.8811748998664886
20,1,8,3.0240320427236314
20,1,16,3.0894526034712952
20,1,32,3.054739652870494
20,1,64,3.0734312416555407
20,1,128,3.0640854472630172
0,1,1,3.0774365821094793
0,1,2,2.457943925233645
0,1,4,2.0640854472630172
0,1,8,1.8464619492656875
0,1,16,1.7850467289719627
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.1361815754339117
2,1,2,2.4005340453938584
2,1,4,2.062750333778371
2,1,8,1.8584779706275034
2,1,16,1.7997329773030708
2,1,32,1.794392523364486
2,1,64,1.8024032042723632
2,1,128,1.8077436582109478
5,1,1,3.0907877169559415
5,1,2,2.532710280373832
5,1,4,2.3057409879839788
5,1,8,2.2803738317757007
5,1,16,2.4966622162883847
5,1,32,2.7423230974632844
5,1,64,2.938584779706275
5,1,128,3.022696929238985
10,1,1,3.040053404539386
10,1,2,2.7009345794392523
10,1,4,2.6675567423230975
10,1,8,2.885180240320427
10,1,16,3.048064085447263
10,1,32,3.0854472630173566
10,1,64,3.0640854472630172
10,1,128,3.0600801068090786
15,1,1,3.069425901201602
15,1,2,2.7423230974632844
15,1,4,2.8464619492656875
15,1,8,3.012016021361816
15,1,16,3.081441922563418
15,1,32,3.1174899866488652
15,1,64,3.110814419225634
15,1,128,3.0987983978638183
20,1,1,3.0907877169559415
20,1,2,2.79305740987984
20,1,4,2.9158878504672896
20,1,8,2.9813084112149535
20,1,16,3.0600801068090786
20,1,32,3.0654205607476634
20,1,64,3.096128170894526
20,1,128,3.0841121495327104
0,1,1,3.0600801068090786
0,1,2,2.4352469959946594
0,1,4,2.081441922563418
0,1,8,1.8624833110814418
0,1,16,1.781041388518024
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0947930574098796
2,1,2,2.444592790387183
2,1,4,2.076101468624833
2,1,8,1.863818424566088
2,1,16,1.7957276368491322
2,1,32,1.7903871829105473
2,1,64,1.8117489986648865
2,1,128,1.8064085447263016
5,1,1,3.081441922563418
5,1,2,2.514018691588785
5,1,4,2.328437917222964
5,1,8,2.323097463284379
5,1,16,2.5447263017356474
5,1,32,2.767690253671562
5,1,64,3.0106809078771697
5,1,128,3.0267022696929238
10,1,1,3.061415220293725
10,1,2,2.6275033377837116
10,1,4,2.716955941255007
10,1,8,2.9065420560747666
10,1,16,3.0307076101468624
10,1,32,3.0106809078771697
10,1,64,3.097463284379172
10,1,128,3.076101468624833
15,1,1,3.0734312416555407
15,1,2,2.7917222963951938
15,1,4,2.814419225634179
15,1,8,2.993324432576769
15,1,16,3.02803738317757
15,1,32,3.0907877169559415
15,1,64,3.0307076101468624
15,1,128,3.0600801068090786
20,1,1,3.109479305740988
20,1,2,2.767690253671562
20,1,4,2.8865153538050734
20,1,8,3.068090787716956
20,1,16,3.1401869158878504
20,1,32,3.1001335113484645
20,1,64,3.1481975967957276
20,1,128,3.110814419225634
0,1,1,3.102803738317757
0,1,2,2.432576769025367
0,1,4,2.0841121495327104
0,1,8,1.8518024032042724
0,1,16,1.7837116154873165
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.109479305740988
2,1,2,2.4285714285714284
2,1,4,2.068090787716956
2,1,8,1.8678237650200267
2,1,16,1.7903871829105473
2,1,32,1.8024032042723632
2,1,64,1.809078771695594
2,1,128,1.7983978638184246
5,1,1,3.1468624833110814
5,1,2,2.5100133511348464
5,1,4,2.2750333778371163
5,1,8,2.3204272363150866
5,1,16,2.500667556742323
5,1,32,2.7436582109479306
5,1,64,2.911882510013351
5,1,128,2.9412550066755676
10,1,1,3.074766355140187
10,1,2,2.691588785046729
10,1,4,2.683578104138852
10,1,8,2.870493991989319
10,1,16,3.0587449933244324
10,1,32,3.0787716955941256
10,1,64,3.0493991989319094
10,1,128,3.0720961281708945
15,1,1,3.0801068090787718
15,1,2,2.746328437917223
15,1,4,2.843791722296395
15,1,8,2.998664886515354
15,1,16,3.052069425901202
15,1,32,3.057409879839786
