,month,sigma,fif,blind_oracle,random_marker,lru,lv_marker,rohatgi_marker,adaptive_query_2,adaptive_query_4,adaptive_query_8
0,1,0,749,749,2285,2080,1331,1331,1849,1547,1394
1,1,0,749,749,2324,2080,1331,1331,1859,1534,1395
2,1,0,749,749,2306,2080,1331,1331,1841,1541,1398
3,1,0,749,749,2292,2080,1331,1331,1812,1545,1398
4,1,0,749,749,2307,2080,1331,1331,1797,1565,1393
5,1,0,749,749,2314,2080,1331,1331,1797,1545,1388
6,1,0,749,749,2310,2080,1331,1331,1817,1542,1390
7,1,0,749,749,2316,2080,1331,1331,1824,1551,1387
8,1,0,749,749,2301,2080,1331,1331,1827,1545,1395
9,1,0,749,749,2317,2080,1331,1331,1828,1548,1381
10,1,0,749,749,2354,2080,1331,1331,1842,1541,1378
11,1,0,749,749,2298,2080,1331,1331,1826,1552,1389
12,1,0,749,749,2331,2080,1331,1331,1820,1539,1381
13,1,0,749,749,2307,2080,1331,1331,1837,1543,1393
14,1,0,749,749,2323,2080,1331,1331,1810,1550,1392
15,1,0,749,749,2317,2080,1331,1331,1855,1544,1402
16,1,0,749,749,2326,2080,1331,1331,1810,1535,1392
17,1,0,749,749,2274,2080,1331,1331,1839,1529,1385
18,1,0,749,749,2287,2080,1331,1331,1821,1540,1403
19,1,0,749,749,2325,2080,1331,1331,1810,1540,1395
20,1,2,749,766,2298,2080,1356,1354,1815,1540,1408
21,1,2,749,760,2300,2080,1361,1357,1838,1559,1390
22,1,2,749,769,2303,2080,1354,1357,1816,1541,1403
23,1,2,749,779,2343,2080,1355,1361,1806,1548,1385
24,1,2,749,767,2343,2080,1360,1355,1809,1533,1407
25,1,2,749,769,2302,2080,1349,1359,1828,1563,1411
26,1,2,749,767,2317,2080,1366,1352,1824,1544,1390
27,1,2,749,761,2297,2080,1357,1363,1846,1544,1405
28,1,2,749,764,2310,2080,1355,1356,1825,1544,1398
29,1,2,749,769,2334,2080,1353,1366,1833,1549,1398
30,1,2,749,769,2326,2080,1353,1348,1842,1545,1410
31,1,2,749,775,2302,2080,1356,1353,1810,1526,1401
32,1,2,749,768,2305,2080,1356,1357,1835,1541,1409
33,1,2,749,767,2270,2080,1357,1355,1834,1560,1395
34,1,2,749,770,2331,2080,1356,1358,1808,1552,1398
35,1,2,749,773,2324,2080,1359,1359,1815,1541,1401
36,1,2,749,767,2298,2080,1361,1351,1791,1533,1404
37,1,2,749,778,2322,2080,1362,1352,1808,1553,1387
38,1,2,749,767,2342,2080,1348,1359,1822,1548,1403
39,1,2,749,768,2310,2080,1356,1355,1824,1543,1396
40,1,4,749,3037,2335,2080,2140,2193,1838,1628,1569
41,1,4,749,3075,2340,2080,2169,2204,1870,1624,1558
42,1,4,749,2996,2273,2080,2178,2206,1863,1633,1562
43,1,4,749,3031,2312,2080,2163,2219,1869,1633,1584
44,1,4,749,3067,2267,2080,2169,2198,1847,1648,1567
45,1,4,749,3032,2318,2080,2167,2206,1860,1635,1589
46,1,4,749,2957,2334,2080,2152,2206,1881,1632,1580
47,1,4,749,3077,2322,2080,2196,2173,1844,1628,1536
48,1,4,749,3065,2311,2080,2126,2187,1862,1646,1594
49,1,4,749,3098,2320,2080,2176,2215,1856,1650,1562
50,1,4,749,3012,2329,2080,2166,2183,1860,1638,1565
51,1,4,749,2990,2352,2080,2150,2209,1824,1633,1575
52,1,4,749,2994,2298,2080,2192,2190,1869,1632,1561
53,1,4,749,3024,2325,2080,2155,2171,1838,1625,1570
54,1,4,749,2999,2259,2080,2178,2160,1856,1626,1561
55,1,4,749,3102,2330,2080,2149,2197,1854,1632,1560
56,1,4,749,2948,2293,2080,2157,2182,1852,1644,1578
57,1,4,749,3081,2291,2080,2169,2168,1865,1632,1586
58,1,4,749,2993,2308,2080,2127,2182,1882,1626,1563
59,1,4,749,2987,2319,2080,2172,2179,1856,1630,1576
60,1,8,749,3146,2304,2080,2322,2279,1992,1926,2043
61,1,8,749,3222,2289,2080,2352,2312,1985,1910,2050
62,1,8,749,3222,2281,2080,2339,2264,1987,1928,2045
63,1,8,749,3223,2293,2080,2310,2335,1989,1940,2074
64,1,8,749,3195,2283,2080,2318,2304,1987,1917,2065
65,1,8,749,3241,2312,2080,2279,2322,1978,1914,2040
66,1,8,749,3157,2326,2080,2356,2295,2009,1939,2047
67,1,8,749,3200,2345,2080,2272,2327,1971,1940,2029
68,1,8,749,3170,2313,2080,2286,2342,1993,1930,2047
69,1,8,749,3103,2298,2080,2337,2327,1981,1915,2081
70,1,8,749,3252,2316,2080,2318,2334,1990,1960,2063
71,1,8,749,3264,2298,2080,2322,2293,2011,1946,2044
72,1,8,749,3248,2329,2080,2315,2298,1965,1944,2053
73,1,8,749,3126,2328,2080,2309,2288,1984,1912,2071
74,1,8,749,3175,2312,2080,2305,2337,1964,1958,2029
75,1,8,749,3292,2277,2080,2326,2306,2000,1917,2050
76,1,8,749,3158,2286,2080,2330,2306,1986,1930,2061
77,1,8,749,3197,2301,2080,2289,2318,2012,1924,2063
